Date,High,Low,Open,Close,Volume,Adj Close,Month,Quarter,Year
2004-08-19,52.08208084,48.02802658,50.05004883,50.22021866,44659096,50.22021866,8,Quarter 3,2004
2004-08-20,54.59459686,50.3003006,50.55555725,54.20920944,22834343,54.20920944,8,Quarter 3,2004
2004-08-23,56.79679871,54.5795784,55.43043137,54.75475311,18256126,54.75475311,8,Quarter 3,2004
2004-08-24,55.85585785,51.83683777,55.67567444,52.48748779,15247337,52.48748779,8,Quarter 3,2004
2004-08-25,54.05405426,51.99199295,52.53253174,53.05305481,9188602,53.05305481,8,Quarter 3,2004
2004-08-26,54.02902985,52.38238144,52.52752686,54.00901031,7094898,54.00901031,8,Quarter 3,2004
2004-08-27,54.36436462,52.89789963,54.10410309,53.12812805,6211782,53.12812805,8,Quarter 3,2004
2004-08-30,52.79779816,51.05605698,52.6926918,51.05605698,5196798,51.05605698,8,Quarter 3,2004
2004-08-31,51.90690613,51.13113022,51.20120239,51.23623657,4917877,51.23623657,8,Quarter 3,2004
2004-09-01,51.53653717,49.88488388,51.40140152,50.17517471,9138253,50.17517471,9,Quarter 3,2004
2004-09-02,51.23623657,49.51951981,49.64464569,50.80580521,15118666,50.80580521,9,Quarter 3,2004
2004-09-03,50.92092133,49.70970917,50.52552414,50.05505371,5152442,50.05505371,9,Quarter 3,2004
2004-09-07,51.05105209,49.85485458,50.55555725,50.84083939,5847547,50.84083939,9,Quarter 3,2004
2004-09-08,51.56656647,50.3003006,50.4204216,51.20120239,4985609,51.20120239,9,Quarter 3,2004
2004-09-09,51.4064064,50.55055237,51.3163147,51.20620728,4061734,51.20620728,9,Quarter 3,2004
2004-09-10,53.33333206,50.70070267,50.85084915,52.71771622,8698892,52.71771622,9,Quarter 3,2004
2004-09-13,54.25925827,53.28328323,53.36836624,53.80380249,7844148,53.80380249,9,Quarter 3,2004
2004-09-14,56.05605698,53.44844818,53.77877808,55.80080032,10828960,55.80080032,9,Quarter 3,2004
2004-09-15,57.17217255,55.15515518,55.33533478,56.05605698,10713076,56.05605698,9,Quarter 3,2004
2004-09-16,57.95795822,55.88088226,56.22622681,57.04204178,9266324,57.04204178,9,Quarter 3,2004
2004-09-17,58.80380249,56.83183289,57.26726532,58.80380249,9472518,58.80380249,9,Quarter 3,2004
2004-09-20,60.86086273,58.4434433,58.533535,59.73973846,10628761,59.73973846,9,Quarter 3,2004
2004-09-21,60.2702713,58.81381226,59.96496582,58.9789772,7228764,58.9789772,9,Quarter 3,2004
2004-09-22,59.89489365,58.46346283,58.75875854,59.2492485,7581211,59.2492485,9,Quarter 3,2004
2004-09-23,61.37637711,58.56856918,59.47948074,60.47047043,8535656,60.47047043,9,Quarter 3,2004
2004-09-24,62.11211014,59.93994141,60.53053284,59.97497559,9123467,59.97497559,9,Quarter 3,2004
2004-09-27,60.50049973,58.95895767,59.83983994,59.18918991,7066127,59.18918991,9,Quarter 3,2004
2004-09-28,63.76376343,60.16516495,60.71071243,63.49349213,16929054,63.49349213,9,Quarter 3,2004
2004-09-29,67.57757568,63.17817688,63.413414,65.60560608,30516453,65.60560608,9,Quarter 3,2004
2004-09-30,66.21621704,64.56456757,65.01501465,64.86486816,13758028,64.86486816,9,Quarter 3,2004
2004-10-01,67.18718719,64.51451874,65.46546173,66.35635376,15124860,66.35635376,10,Quarter 4,2004
2004-10-04,68.50350189,67.08208466,67.69269562,67.59759521,13022764,67.59759521,10,Quarter 4,2004
2004-10-05,69.33433533,66.18618774,67.3973999,69.2542572,14973212,69.2542572,10,Quarter 4,2004
2004-10-06,69.29429626,68.06806946,68.84384155,68.60861206,13381405,68.60861206,10,Quarter 4,2004
2004-10-07,70.01000977,68.34334564,68.52852631,69.49449158,14115071,69.49449158,10,Quarter 4,2004
2004-10-08,69.90991211,68.57858276,69.4294281,68.93393707,11069519,68.93393707,10,Quarter 4,2004
2004-10-11,69.49949646,66.99198914,68.56856537,67.6977005,10472117,67.6977005,10,Quarter 4,2004
2004-10-12,68.87387085,66.76676941,67.28728485,68.76876831,11665523,68.76876831,10,Quarter 4,2004
2004-10-13,71.84684753,70.11010742,71.73173523,70.52052307,19766214,70.52052307,10,Quarter 4,2004
2004-10-14,71.26126099,69.34934998,70.57557678,71.07106781,10442147,71.07106781,10,Quarter 4,2004
2004-10-15,72.82282257,71.0460434,72.53753662,72.1271286,13194792,72.1271286,10,Quarter 4,2004
2004-10-18,74.67467499,70.67567444,71.67166901,74.65465546,14036350,74.65465546,10,Quarter 4,2004
2004-10-19,76.27627563,73.74874878,75.32532501,74.04404449,18109872,74.04404449,10,Quarter 4,2004
2004-10-20,74.56957245,69.86987305,74.08908844,70.31531525,22722655,70.31531525,10,Quarter 4,2004
2004-10-21,75.14013672,70.88088226,72.2722702,74.76476288,29149821,74.76476288,10,Quarter 4,2004
2004-10-22,90.17517853,82.12212372,85.35535431,86.30130005,73710016,86.30130005,10,Quarter 4,2004
2004-10-25,97.31230927,86.36135864,88.2882843,93.79379272,65462872,93.79379272,10,Quarter 4,2004
2004-10-26,96.41641235,90.09008789,93.26325989,90.99098969,44569586,90.99098969,10,Quarter 4,2004
2004-10-27,94.8548584,90.97597504,91.45145416,93.07807922,26686287,93.07807922,10,Quarter 4,2004
2004-10-28,97.29228973,92.89289093,93.43343353,96.74674988,29663906,96.74674988,10,Quarter 4,2004
2004-10-29,100.0750732,95.39539337,99.54454803,95.4154129,42282675,95.4154129,10,Quarter 4,2004
2004-11-01,98.93393707,95.73072815,96.87187195,98.1131134,24425350,98.1131134,11,Quarter 4,2004
2004-11-02,99.72472382,96.76676941,99.48948669,97.53253174,22669907,97.53253174,11,Quarter 4,2004
2004-11-03,100.9009018,95.47046661,99.1891861,95.93093109,27749623,95.93093109,11,Quarter 4,2004
2004-11-04,95.29529572,91.76676941,94.3143158,92.44244385,28790381,92.44244385,11,Quarter 4,2004
2004-11-05,91.24124146,84.35935974,91.08107758,84.759758,39626534,84.759758,11,Quarter 4,2004
