Year,Quarter,Date,Adj Close,Total Liabilities,Revenue,Net Income,EPS,PE Ratio,Profit,Shareholder Equity,Total Assets,ROE
2006,Quarter 4,2006-12-29,230.4704742,1434,3206,1031,1.65,46.52,1922,17040,18473,0.2236
2007,Quarter 1,2007-03-30,229.3093109,1638,3664,1002,1.59,41.18,2194,18377,20015,0.2208
2007,Quarter 2,2007-06-29,261.6116028,1764,3872,925,1.47,44.58,2312,19660,21424,0.2125
2007,Quarter 3,2007-09-28,283.9189148,2304,4231,1070,1.69,44.52,2569,21037,23341,0.2117
2007,Quarter 4,2007-12-31,346.0860901,2646,4827,1206,1.9,52.23,2871,22690,25336,0.2056
2008,Quarter 1,2008-03-31,220.4554596,3267,5186,1307,2.06,31.07,3076,24338,27605,0.2056
2008,Quarter 2,2008-06-30,263.4734802,3267,5367,1247,1.96,34.72,3220,25913,29180,0.2056
2008,Quarter 3,2008-09-30,200.4604645,3332,5541,1290,2.03,25,3368,27475,30807,0.2012
2008,Quarter 4,2008-12-31,153.9789734,3529,5701,383,0.61,22.88,3511,28239,31768,0.1596
2009,Quarter 1,2009-03-31,174.2042084,3665,5509,1423,2.25,25.19,3407,29848,33513,0.1558
2009,Quarter 2,2009-06-30,211.006012,3564,5523,1485,2.33,28.97,3415,31595,35159,0.1564
2009,Quarter 3,2009-09-30,248.173172,3981,5945,1639,2.57,32.09,3719,33722,37703,0.1598
2009,Quarter 4,2009-12-31,310.300293,4493,6674,1973,3.07,30.44,4266,36004,40497,0.1988
2010,Quarter 1,2010-03-31,283.8438416,4588,6775,1955,3.03,25.86,4323,38283,42871,0.2021
2010,Quarter 2,2010-06-30,222.6976929,7432,6820,1840,2.86,19.36,4353,40613,48045,0.1994
2010,Quarter 3,2010-09-30,263.1581726,10052,7286,2167,3.36,21.4,4734,43290,53342,0.2006
2010,Quarter 4,2010-12-31,297.2822876,11610,8440,2543,3.91,22.64,5494,46241,57851,0.202
2011,Quarter 1,2011-03-31,293.6736755,11109,8575,1798,2.76,21.56,5639,48851,59960,0.1866
2011,Quarter 2,2011-06-30,253.4434357,12870,9026,2505,3.84,17.36,5854,51991,64861,0.1894
2011,Quarter 3,2011-09-30,257.777771,14258,9720,2729,4.17,16.74,6342,54830,69088,0.1897
2011,Quarter 4,2011-12-30,323.2732849,14429,10584,2705,4.12,20.72,6882,58145,72574,0.1822
2012,Quarter 1,2012-03-30,320.9409485,15432,10645,2890,4.38,19.5,6856,61712,77144,0.1911
2012,Quarter 2,2012-06-29,290.3253174,21330,11807,2785,4.21,17.26,7130,64721,86051,0.1856
2012,Quarter 3,2012-09-28,377.6276245,21702,13304,2176,3.27,23.71,7349,68028,89730,0.1672
2012,Quarter 4,2012-12-31,354.0440369,22083,10283,2886,4.31,21.95,7528,71715,93798,0.1614
2013,Quarter 1,2013-03-28,397.4924927,21219,12951,3346,4.97,23.77,7815,75473,96692,0.1599
2013,Quarter 2,2013-06-28,440.6256409,22330,13107,3228,4.77,25.5,7912,78852,101182,0.1583
2013,Quarter 3,2013-09-30,438.3934021,22079,13754,2970,4.38,23.84,8345,82989,105068,0.1609
2013,Quarter 4,2013-12-31,560.9158936,23611,15707,3189,4.67,29.48,9454,87309,110920,0.1569
2014,Quarter 1,2014-03-31,557.8128052,24815,15420,3452,5.04,29.21,9459,91711,116526,0.1507
2014,Quarter 2,2014-06-30,584.6699829,25859,15955,3351,4.88,30.21,9841,95749,121608,0.1449
2014,Quarter 3,2014-09-30,588.4099731,26966,16523,2739,3.98,30.86,9828,98815,125781,0.1363
2014,Quarter 4,2014-12-31,530.6599731,25327,18103,4594,6.67,25.23,11182,103860,129187,0.1449
2015,Quarter 1,2015-03-31,554.7000122,24952,17258,3515,5.1,26.18,10902,108448,133400,0.1396
2015,Quarter 2,2015-06-30,540.039978,27024,17727,3409,4.93,25.56,11144,111783,138807,0.1348
2015,Quarter 3,2015-09-30,638.3699951,28040,18675,3979,5.33,27.98,11638,116241,144281,0.1408
2015,Quarter 4,2015-12-31,778.0100098,27130,21329,4923,7.48,33.94,13141,120331,147461,0.1386
2016,Quarter 1,2016-03-31,762.9000244,26178,20257,4207,6.02,32.14,12609,123569,149747,0.14
2016,Quarter 2,2016-06-30,703.5300293,26413,21500,4877,7,27.26,13370,127879,154292,0.1474
2016,Quarter 3,2016-09-30,804.0599976,25845,22451,5061,7.25,29.42,13752,134103,159948,0.1508
2016,Quarter 4,2016-12-30,792.4500122,28461,26064,5333,7.58,28.47,15403,139036,167497,0.1485
2017,Quarter 1,2017-03-31,847.7999878,27807,24750,5426,7.73,28.7,14955,144949,172756,0.1516
2017,Quarter 2,2017-06-30,929.6799927,30335,26010,3524,5.01,33.75,15637,148286,178621,0.1366
2017,Quarter 3,2017-09-29,973.7199707,32436,27772,6732,9.57,32.6,16624,157100,189536,0.1426
2017,Quarter 4,2017-12-29,1053.400024,44793,32323,-3020,-4.31,58.65,18056,152502,197295,0.084
2018,Quarter 1,2018-03-29,1037.140015,46110,31146,9401,13.33,44.02,17679,160825,206935,0.1076
2018,Quarter 2,2018-06-29,1129.189941,49610,32657,3195,4.54,48.9,18774,162000,211610,0.1031
2018,Quarter 3,2018-09-28,1207.079956,51698,33740,9192,13.06,45.41,19459,169840,221538,0.1164
2018,Quarter 4,2018-12-31,1044.959961,55164,39276,8948,12.77,23.91,21358,177628,232792,0.1834
2019,Quarter 1,2019-03-29,1176.890015,61877,36339,6657,9.5,29.52,20327,183472,245349,0.1616
2019,Quarter 2,2019-06-28,1082.800049,64909,38944,9947,14.21,21.86,21648,192192,257101,0.1922
2019,Quarter 3,2019-09-30,1221.140015,68075,40499,7068,10.12,26.2,22931,194969,263044,0.1744
2019,Quarter 4,2019-12-31,1339.390015,74467,46075,10671,15.33,27.23,25055,201442,275909,0.1779
2020,Quarter 1,2020-03-31,1161.949951,69744,41159,6836,9.87,23.45,22177,203659,273403,0.1743
2020,Quarter 2,2020-06-30,1418.050049,71170,38297,6959,10.13,31.19,19744,207322,278492,0.1562
2020,Quarter 3,2020-09-30,1465.599976,86323,46173,11247,16.4,28.32,25056,212920,299243,0.1731
2020,Quarter 4,2020-12-31,1752.640015,97072,56898,15227,22.21,29.86,30818,222544,319616,0.1903
2021,Quarter 1,2021-03-12,2050,,,,,34.92,,,,
2021,Quarter 2,2021-06-30,,,,,,,,,,
2021,Quarter 3,2021-09-30,,,,,,,,,,
2021,Quarter 4,2021-12-31,,,,,,,,,,
